"","target_id","test_stat","pval","qval","rss","sigma_sq","tech_var","mean_obs","var_obs","sigma_sq_pmax","smooth_sigma_sq","final_sigma_sq","degrees_free","ens_gene","ext_gene","coef","singlecoef"
"2855","ENST00000532567",31.8570986170018,1.65942104401378e-08,3.0465126566933e-05,15.0458807389998,2.4816203501902,0.0260264396430979,4.52340626290625,2.15519542896771,2.4816203501902,0.0351422835535533,2.4816203501902,1,"ENSG00000118181","RPS25",0.142280117680198,2.71877183428501
"2856","ENST00000532636",29.2743527271178,6.28217036001589e-08,5.33198782792088e-05,95.8976777855989,15.6665056525848,0.31644064501504,2.76033529251474,13.723162199951,15.6665056525848,0.521420693931106,15.6665056525848,1,"ENSG00000109971","HSPA8",-0.286755657361931,6.90696494614937
"2857","ENST00000532683",12.8877721880532,0.000330735886086705,0.00969091174069642,0.0977784574262121,0.0146651366377963,0.00163127293323907,7.01460036716096,0.0914510886654893,0.0146651366377963,0.00723836517097244,0.0146651366377963,1,"ENSG00000119707","RBM25",0.520758659665019,0.199173924589583
"2858","ENST00000532702",25.869745122075,3.65249275626878e-07,0.000140349157701928,5.65012471466821,0.89637246588948,0.0453149865552204,6.16908445111872,0.807308123593827,0.89637246588948,0.00878745836191784,0.89637246588948,1,"ENSG00000161016","RPL8",-0.0227172895454889,1.65173705890203
"2859","ENST00000532727",13.0731191809732,0.000299563865683064,0.0090499230864519,29.5409004072809,3.9276385022045,0.995844899008978,1.2242894040446,4.22846572900491,3.9276385022045,1.18498976310831,3.9276385022045,1,"ENSG00000173715","C11orf80",0.170821099038619,-3.83487314173848
"2860","ENST00000532872",8.88351188561888,0.00287757490046405,0.043145344900515,48.4290106029626,5.3216002179324,2.74990154922803,4.4259815633348,8.73679733290724,5.3216002179324,0.0399727199393014,5.3216002179324,1,"ENSG00000149273","RPS3",2.52275352813033,-4.08439397203308
"2861","ENST00000532914",9.69156297530226,0.0018511601238612,0.0321064227360657,27.6854836873819,2.77765976262128,1.83658751860904,1.16284142731073,3.96708015047751,2.77765976262128,1.20608749844459,2.77765976262128,1,"ENSG00000179431","FJX1",0.205033370406699,3.71197721574135
"2862","ENST00000532993",16.4328007833965,5.04054279804902e-05,0.00292912855752042,0.161071073572601,0.02444704028137,0.0023981386473968,7.03971459954139,0.0233805348287617,0.02444704028137,0.00724137294713822,0.02444704028137,1,"ENSG00000196914","ARHGEF12",0.0360046540653458,0.26605533861378
"2863","ENST00000533099",9.61106855579135,0.00193408070093084,0.0330018747898247,0.259226899687339,0.0327263747383831,0.01047810854284,5.35712211572306,0.104487959888079,0.0327263747383831,0.0146821327589313,0.0327263747383831,1,"ENSG00000185946","RNPC3",-0.485895472056087,0.307614090953854
"2864","ENST00000533172",14.517250032606,0.000138881984950885,0.00540457907280304,21.462639422826,3.46538372077718,0.111722849693814,2.53533034758215,3.23341361084441,3.46538372077718,0.643610337578823,3.46538372077718,1,"ENSG00000167283","ATP5L",-0.765263305367793,3.01612420601999
"2865","ENST00000533294",10.6827929329025,0.00108136672918527,0.0220494723977723,27.4586052845195,3.32205766803484,1.25437654605175,1.61324626423116,4.00900669239915,3.32205766803484,1.03981205659098,3.32205766803484,1,"ENSG00000149557","FEZ1",-0.549746106068309,3.47598549659187
"2866","ENST00000533540",9.52388538178487,0.00202814731296341,0.0339524600325172,15.5569945635309,1.90346965784854,0.689362769406608,4.68112067971976,2.24229010028191,1.90346965784854,0.0288770767341369,1.90346965784854,1,"ENSG00000109971","HSPA8",-0.263662794533553,2.35478839369883
"2867","ENST00000533626",13.104460261961,0.000294593539196196,0.00893678527810051,0.233518521270447,0.0361865813697358,0.00273317217533871,5.09034926638723,0.049884392826361,0.0361865813697358,0.0185791088529415,0.0361865813697358,1,"ENSG00000175390","EIF3F",-0.240491401628082,0.318200431427979
"2868","ENST00000534358",12.0867087991169,0.000507825371984555,0.0130901694560075,0.00938950376018402,0.000961496892202817,0.000603420401161187,7.63801214105656,0.0285431206736067,0.000961496892202817,0.00814773339329713,0.00814773339329713,1,"ENSG00000118058","KMT2A",0.308554971565089,0.0482737721715671
"2869","ENST00000534490",15.4369436594908,8.53042331638418e-05,0.00398533980555935,49.1044921888489,8.12202951569219,0.0620525157826316,2.85374423177335,7.04963525008555,8.12202951569219,0.468752532667854,8.12202951569219,1,"ENSG00000172809","RPL38",0.348535910452531,4.60280122258336
"2870","ENST00000534555",24.0558958330868,9.35792900413278e-07,0.000250736855570734,56.8095566933429,9.25196783810069,0.216291610789804,2.29035746957466,8.21383502000554,9.25196783810069,0.751577918123534,9.25196783810069,1,"ENSG00000149273","RPS3",-0.5862117564054,5.27985909534173
"2871","ENST00000535035",12.6889009851072,0.000367832399665613,0.0104367969198768,59.0293511530559,6.64036992164408,3.1978552705319,1.98591057210626,8.46837085645083,6.64036992164408,0.880236738887922,6.64036992164408,1,"ENSG00000116133","DHCR24",-0.353019009473931,5.30457836734658
"2872","ENST00000535113",8.58058873225809,0.00339765498191911,0.0486336586193325,0.0755236626230179,0.00875889345272074,0.00382838365111557,5.69666191138939,0.0140368624812541,0.00875889345272074,0.0114563097383806,0.0114563097383806,1,"ENSG00000184949","FAM227A",-0.10661701258655,0.168524550656305
"2873","ENST00000535140",12.8660279073639,0.000334601056456329,0.00976786794315887,27.5948200358607,4.15458846616438,0.444548206479068,2.09012487246179,3.94572939490203,4.15458846616438,0.83302116119973,4.15458846616438,1,"ENSG00000167770","OTUB1",0.112440491935756,3.36514316790676
"2874","ENST00000535170",23.796708459503,1.07065393034011e-06,0.000268036589257723,82.8841096997767,12.8832941872613,0.930724096034817,2.52551376916906,11.8411238841703,12.8832941872613,0.648452184194981,12.8832941872613,1,"ENSG00000106261","ZKSCAN1",0.0433444887825696,6.43732172523977
"2875","ENST00000535366",13.4467304406274,0.000245433537283504,0.00791140494108327,2.64782857327498,0.314375176442503,0.126929585769994,5.2977328284516,0.378387062519431,0.314375176442503,0.015420261255764,0.314375176442503,1,"ENSG00000111674","ENO2",0.0209864761338244,-1.08655444055984
